hour	103rd Street & Stony Island Garage Terminal	103rd Street & Luella	103rd Street & Oglesby	Yates & 103rd Street	Yates & 102nd Street	Yates & 101st Street	100th Street & Yates	100th Street & Oglesby	100th Street & Crandon	100th Street & Luella	100th Street & Paxton	100th Street & Clyde	Van Vlissingen & 99th Street	Jeffery & 98th Street	Jeffery & 97th Street	Jeffery & 96th Street	Jeffery & 95th Street	Jeffery & 93rd Street	Jeffery & 92nd Street	Jeffery & 91st Street	Jeffery & 90th Street	Jeffery & 89th Street	Jeffery & 88th Street	Jeffery & 87th Street	Jeffery & 86th Street	Jeffery & 85th Street	Jeffery & Anthony	Jeffery & 83rd Street/South Chicago	Jeffery & 82nd Street	Jeffery & 81st Street	Jeffery & 80th Street	Jeffery & 79th Street	Jeffery & 78th Street	Jeffery & 77th Street	Jeffery & 76th Street	Jeffery & 75th Street	Jeffery & 74th Street	Jeffery & 73rd Street	Jeffery & 72nd Street	Jeffery & 71st Street	Jeffery & 70th Street	Jeffery & 69th Street	Jeffery & 68th Street	67th Street & Jeffery	67th Street & Bennett	67th Street & Cregier	67th Street & East End	67th Street & Cornell Drive	Stony Island & Marquette Rd	Stony Island & 65th Street	Stony Island & 64th Street	Stony Island & 63rd Street	Stony Island & 62nd Street	Stony Island & 61st Street	Stony Island & 60th Street	Stony Island & 59th Street	5800 S Stony Island	Stony Island & 57th Drive	Stony Island & 56th Street	Lake Park & 56th Street	Lake Park & 55th Street	Lake Park & 54th Street	Lake Park & 53rd Street	Lake Park & 52nd Street	E Hyde Park & Lake Park	East Hyde Park & Blackstone	E Hyde Park & Dorchester	E Hyde Park & Kenwood	E Hyde Park & Kimbark	E Hyde Park & Woodlawn	E Hyde Park & Ellis 	E Hyde Park & Drexel	51st Street & Cottage Grove	51st Street & Evans	51st Street & Champlain	51st Street & St. Lawrence	51st Street & Forrestville	51st Street & King Drive	51st Green Line Station	51st Street & Indiana	51st Street & Michigan	51st Street & Wabash	51st Street & State	51st Street & Federal	51st Street & Wentworth	5000 S Wentworth	4949 S Wentworth	4901 S Wentworth	4800 S Wentworth	47th Red Line Station
0	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]
4	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 1, 0]	[0, 0, 1, 0]	[0, 0, 0, 0]	[0, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]	[1, 1, 0, 2]	[0, 0, 0, 0]	[0, 0, 1, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]
5	[0, 0, 1, 0]	[0, 0, 0, 1]	[0, 0, 0, 2]	[0, 0, 0, 1]	[0, 0, 0, 2]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 0, 2]	[0, 0, 0, 2]	[0, 0, 1, 1]	[1, 0, 1, 1]	[0, 2, 0, 0]	[0, 1, 0, 0]	[0, 2, 0, 0]	[0, 2, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[0, 1, 0, 0]	[1, 1, 0, 0]	[1, 1, 0, 0]	[0, 1, 0, 0]	[0, 0, 2, 0]	[0, 1, 0, 2]	[0, 2, 0, 1]	[0, 1, 0, 0]	[0, 0, 1, 0]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 2]	[0, 2, 0, 0]	[0, 0, 1, 0]	[0, 0, 1, 1]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 0]	[0, 1, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 1, 1, 0]	[1, 2, 0, 0]	[0, 2, 2, 1]	[0, 0, 3, 0]	[1, 2, 2, 1]	[0, 1, 3, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 1]	[0, 0, 0, 0]	[2, 2, 0, 0]	[0, 1, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 1, 1]	[0, 0, 1, 1]	[0, 1, 1, 0]	[0, 1, 1, 0]	[1, 1, 0, 0]	[2, 0, 0, 0]	[2, 0, 0, 1]	[1, 1, 0, 1]	[0, 3, 0, 1]	[0, 2, 0, 1]	[0, 3, 0, 0]	[1, 1, 1, 2]	[0, 1, 1, 0]
6	[0, 0, 0, 0]	[0, 0, 0, 0]	[2, 0, 0, 0]	[0, 0, 0, 0]	[0, 1, 0, 0]	[0, 0, 1, 1]	[0, 0, 0, 1]	[0, 1, 0, 1]	[1, 0, 0, 1]	[0, 0, 0, 1]	[1, 0, 1, 0]	[1, 0, 0, 1]	[0, 1, 0, 1]	[0, 1, 0, 1]	[0, 0, 2, 1]	[0, 0, 1, 1]	[0, 1, 1, 1]	[0, 1, 0, 1]	[0, 0, 1, 1]	[1, 0, 0, 1]	[0, 1, 0, 1]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 1]	[1, 0, 0, 0]	[1, 1, 1, 1]	[2, 1, 0, 0]	[1, 1, 1, 0]	[2, 0, 1, 0]	[1, 1, 0, 1]	[1, 0, 0, 2]	[1, 1, 0, 1]	[1, 0, 2, 0]	[1, 0, 1, 1]	[0, 2, 0, 0]	[2, 0, 2, 0]	[1, 0, 1, 1]	[0, 1, 2, 2]	[1, 2, 1, 2]	[1, 1, 1, 1]	[1, 1, 1, 0]	[1, 2, 0, 1]	[1, 1, 0, 0]	[1, 1, 4, 2]	[1, 2, 5, 5]	[1, 3, 4, 5]	[3, 3, 2, 4]	[3, 1, 2, 6]	[2, 2, 3, 3]	[1, 2, 1, 0]	[1, 0, 0, 1]	[1, 0, 1, 2]	[1, 0, 1, 0]	[1, 0, 2, 0]	[0, 1, 0, 0]	[0, 1, 0, 1]	[1, 4, 3, 2]	[0, 1, 0, 3]	[0, 0, 1, 3]	[0, 0, 1, 1]	[0, 0, 1, 2]	[3, 3, 1, 3]	[0, 1, 0, 2]	[1, 0, 0, 2]	[1, 0, 0, 1]	[1, 0, 0, 0]	[0, 1, 0, 0]	[0, 1, 0, 0]	[0, 1, 0, 1]	[0, 0, 1, 1]	[0, 0, 2, 0]	[2, 2, 2, 3]	[0, 1, 4, 4]	[3, 5, 4, 2]	[4, 1, 2, 3]	[4, 0, 1, 4]	[2, 0, 2, 1]	[1, 1, 4, 3]	[0, 0, 0, 1]	[0, 0, 1, 0]	[0, 0, 1, 2]	[0, 0, 1, 2]	[0, 0, 0, 1]	[0, 0, 2, 0]
7	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 2]	[0, 0, 0, 2]	[0, 0, 0, 1]	[0, 1, 1, 0]	[0, 1, 1, 0]	[0, 1, 1, 0]	[0, 1, 1, 0]	[0, 1, 0, 1]	[0, 2, 0, 1]	[1, 0, 0, 0]	[2, 0, 0, 0]	[1, 0, 0, 0]	[1, 1, 0, 0]	[1, 0, 1, 0]	[1, 1, 0, 0]	[0, 1, 0, 0]	[0, 0, 1, 0]	[0, 0, 1, 0]	[0, 0, 1, 0]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 0]	[0, 1, 1, 0]	[0, 0, 1, 1]	[0, 0, 1, 0]	[0, 1, 0, 2]	[0, 1, 0, 1]	[0, 0, 0, 1]	[0, 1, 0, 1]	[0, 1, 0, 1]	[0, 1, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 0]	[1, 0, 0, 1]	[1, 0, 2, 1]	[0, 0, 1, 1]	[1, 0, 0, 2]	[1, 0, 1, 2]	[1, 0, 1, 0]	[2, 2, 3, 0]	[3, 5, 5, 5]	[2, 4, 5, 4]	[1, 3, 6, 2]	[2, 4, 3, 4]	[4, 1, 2, 7]	[2, 1, 1, 1]	[0, 2, 3, 0]	[0, 0, 1, 1]	[0, 0, 1, 2]	[0, 0, 1, 1]	[0, 0, 1, 0]	[0, 0, 0, 2]	[2, 3, 0, 1]	[1, 0, 0, 2]	[3, 3, 1, 0]	[2, 1, 0, 0]	[1, 1, 0, 0]	[1, 0, 0, 0]	[2, 0, 0, 0]	[1, 0, 2, 1]	[1, 0, 1, 2]	[1, 0, 1, 3]	[1, 1, 1, 1]	[0, 1, 3, 0]	[0, 1, 2, 0]	[0, 1, 3, 0]	[0, 1, 1, 2]	[6, 3, 5, 7]	[3, 4, 7, 7]	[3, 6, 7, 3]	[3, 4, 2, 9]	[3, 4, 4, 3]	[3, 5, 7, 4]	[2, 2, 1, 1]	[0, 1, 3, 2]	[1, 0, 1, 4]	[0, 0, 3, 2]	[0, 0, 2, 4]	[0, 1, 4, 0]	[0, 4, 1, 2]	[1, 1, 2, 2]	[2, 0, 2, 0]	[2, 0, 1, 2]	[2, 0, 1, 2]	[3, 0, 1, 2]	[2, 0, 2, 2]
8	[0, 1, 0, 0]	[0, 1, 1, 0]	[0, 0, 1, 1]	[0, 1, 1, 0]	[1, 2, 0, 0]	[1, 1, 0, 1]	[1, 2, 0, 0]	[0, 1, 0, 1]	[1, 0, 2, 0]	[1, 0, 1, 2]	[1, 1, 1, 1]	[0, 2, 0, 1]	[1, 1, 0, 1]	[2, 0, 0, 1]	[2, 0, 0, 0]	[1, 0, 0, 1]	[0, 1, 0, 1]	[0, 1, 1, 0]	[0, 2, 1, 0]	[0, 0, 2, 0]	[0, 1, 1, 1]	[0, 0, 3, 2]	[0, 0, 3, 1]	[0, 0, 2, 3]	[0, 0, 2, 1]	[0, 0, 2, 1]	[0, 0, 3, 2]	[0, 0, 3, 1]	[0, 1, 1, 3]	[0, 1, 1, 2]	[0, 1, 1, 2]	[1, 1, 1, 1]	[1, 1, 0, 3]	[1, 0, 2, 2]	[0, 3, 2, 6]	[1, 1, 4, 1]	[2, 2, 2, 6]	[3, 1, 2, 3]	[4, 3, 8, 5]	[6, 6, 5, 12]	[4, 8, 6, 9]	[4, 4, 10, 11]	[6, 6, 10, 6]	[4, 5, 8, 5]	[3, 1, 4, 2]	[2, 4, 2, 6]	[2, 3, 1, 7]	[1, 5, 2, 5]	[0, 2, 5, 8]	[0, 5, 1, 10]	[0, 6, 2, 6]	[2, 4, 4, 4]	[2, 2, 2, 6]	[1, 3, 5, 6]	[1, 3, 4, 3]	[0, 1, 2, 6]	[0, 0, 1, 6]	[0, 0, 0, 4]	[0, 0, 1, 4]	[0, 0, 1, 3]	[0, 0, 2, 5]	[0, 1, 1, 6]	[0, 0, 1, 4]	[0, 0, 3, 3]	[1, 0, 2, 3]	[0, 1, 2, 4]	[2, 2, 7, 9]	[7, 5, 6, 6]	[2, 2, 7, 3]	[3, 4, 6, 11]	[4, 9, 3, 9]	[1, 0, 5, 7]	[2, 1, 4, 4]	[2, 1, 3, 5]	[2, 0, 5, 4]	[2, 1, 4, 6]	[1, 2, 6, 1]	[2, 4, 2, 4]	[2, 4, 1, 5]	[0, 4, 4, 4]	[1, 3, 4, 8]	[1, 2, 3, 3]	[0, 3, 1, 5]	[0, 1, 3, 3]	[0, 1, 3, 4]	[0, 1, 3, 2]	[2, 1, 1, 2]	[1, 1, 3, 2]	[1, 1, 0, 4]	[1, 1, 3, 0]
9	[0, 1, 0, 0]	[0, 0, 0, 1]	[1, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 1, 1]	[0, 1, 0, 0]	[0, 1, 0, 0]	[0, 1, 0, 1]	[1, 0, 0, 1]	[1, 0, 0, 1]	[1, 0, 1, 0]	[0, 1, 1, 0]	[0, 2, 0, 0]	[1, 1, 1, 1]	[0, 1, 1, 1]	[1, 1, 1, 3]	[1, 1, 2, 2]	[0, 3, 0, 2]	[1, 2, 0, 1]	[2, 0, 3, 0]	[3, 2, 0, 1]	[2, 1, 0, 1]	[2, 1, 0, 0]	[1, 2, 0, 2]	[2, 2, 0, 0]	[0, 2, 2, 0]	[0, 0, 1, 3]	[0, 0, 0, 3]	[0, 0, 2, 3]	[0, 1, 2, 2]	[0, 0, 1, 1]	[3, 0, 2, 1]	[9, 3, 3, 3]	[3, 10, 5, 3]	[3, 5, 3, 3]	[4, 4, 2, 2]	[6, 3, 5, 5]	[3, 3, 0, 2]	[0, 2, 0, 3]	[1, 1, 2, 2]	[0, 1, 3, 1]	[1, 1, 2, 2]	[0, 1, 0, 3]	[1, 1, 1, 1]	[2, 0, 1, 2]	[2, 1, 2, 1]	[1, 1, 1, 2]	[1, 0, 1, 3]	[0, 2, 2, 5]	[1, 0, 2, 1]	[0, 1, 1, 2]	[0, 1, 1, 4]	[0, 1, 3, 3]	[1, 2, 1, 3]	[2, 3, 3, 3]	[2, 4, 4, 3]	[1, 5, 2, 7]	[1, 5, 3, 5]	[3, 3, 3, 8]	[4, 6, 7, 12]	[3, 3, 8, 10]	[7, 8, 10, 8]	[1, 6, 5, 8]	[9, 9, 15, 10]	[6, 6, 6, 10]	[5, 1, 8, 3]	[2, 7, 5, 6]	[2, 7, 6, 6]	[2, 2, 7, 6]	[4, 4, 5, 7]	[3, 4, 5, 5]	[1, 5, 7, 6]	[2, 5, 9, 5]	[2, 3, 12, 5]	[2, 4, 9, 6]	[3, 5, 10, 4]	[3, 8, 6, 5]	[4, 6, 6, 8]	[3, 7, 8, 7]	[2, 9, 6, 2]	[2, 8, 8, 5]	[4, 6, 3, 10]	[3, 9, 7, 7]	[4, 9, 4, 6]	[5, 9, 6, 7]	[2, 10, 8, 7]	[0, 11, 6, 7]	[0, 8, 11, 3]	[0, 10, 12, 7]
10	[0, 0, 0, 2]	[0, 0, 1, 0]	[0, 1, 2, 0]	[0, 1, 1, 0]	[0, 1, 0, 1]	[0, 2, 0, 2]	[1, 1, 1, 1]	[2, 0, 1, 1]	[2, 0, 1, 0]	[2, 1, 1, 1]	[3, 1, 0, 0]	[2, 3, 0, 0]	[1, 2, 1, 0]	[1, 3, 1, 2]	[0, 1, 1, 1]	[0, 1, 0, 2]	[0, 1, 0, 0]	[0, 0, 1, 1]	[0, 0, 1, 0]	[0, 1, 0, 0]	[0, 0, 1, 1]	[0, 0, 0, 1]	[0, 1, 1, 0]	[0, 0, 0, 2]	[0, 0, 0, 2]	[0, 0, 0, 1]	[0, 0, 1, 1]	[2, 4, 1, 2]	[6, 4, 4, 1]	[3, 2, 3, 5]	[1, 3, 3, 5]	[2, 2, 3, 4]	[4, 0, 2, 3]	[1, 0, 2, 1]	[0, 0, 2, 0]	[0, 1, 0, 0]	[0, 0, 1, 1]	[0, 1, 1, 0]	[1, 1, 0, 0]	[0, 1, 1, 0]	[1, 4, 0, 4]	[4, 2, 3, 0]	[1, 1, 2, 1]	[1, 0, 2, 3]	[2, 3, 1, 5]	[0, 1, 1, 2]	[0, 2, 2, 1]	[1, 1, 0, 2]	[1, 0, 0, 2]	[1, 0, 0, 0]	[1, 0, 1, 2]	[1, 0, 1, 1]	[1, 0, 1, 1]	[1, 0, 2, 0]	[1, 1, 3, 0]	[3, 3, 4, 8]	[6, 4, 4, 2]	[7, 7, 6, 3]	[5, 4, 5, 11]	[1, 3, 1, 8]	[2, 2, 2, 3]	[3, 0, 3, 2]	[3, 1, 1, 0]	[3, 1, 1, 2]	[0, 3, 3, 3]	[2, 1, 2, 3]	[1, 1, 1, 4]	[1, 1, 2, 2]	[1, 1, 3, 0]	[2, 0, 3, 2]	[1, 2, 2, 2]	[1, 2, 0, 2]	[1, 1, 1, 2]	[3, 2, 1, 1]	[3, 1, 3, 1]	[1, 2, 3, 0]	[2, 2, 3, 0]	[0, 4, 2, 2]	[1, 3, 1, 2]	[1, 3, 1, 0]	[1, 4, 0, 1]	[2, 3, 0, 2]	[3, 2, 1, 0]	[0, 5, 0, 2]	[1, 2, 2, 3]	[3, 3, 1, 2]	[3, 3, 1, 2]	[2, 3, 2, 1]	[1, 3, 3, 0]	[2, 2, 2, 1]
11	[1, 1, 1, 3]	[0, 1, 1, 2]	[0, 2, 1, 3]	[1, 0, 3, 3]	[3, 0, 2, 2]	[0, 1, 6, 3]	[1, 0, 2, 1]	[1, 1, 5, 1]	[1, 0, 3, 2]	[2, 1, 1, 0]	[1, 1, 1, 0]	[1, 1, 1, 0]	[2, 1, 1, 0]	[1, 1, 1, 0]	[1, 1, 2, 1]	[1, 1, 1, 1]	[1, 1, 0, 1]	[1, 0, 1, 0]	[1, 0, 2, 0]	[0, 2, 0, 0]	[0, 1, 1, 1]	[1, 1, 1, 2]	[3, 4, 3, 6]	[5, 2, 3, 4]	[5, 6, 7, 2]	[0, 3, 3, 0]	[5, 3, 6, 1]	[2, 1, 1, 3]	[0, 2, 0, 0]	[0, 1, 1, 0]	[0, 0, 2, 0]	[0, 0, 0, 1]	[0, 0, 0, 2]	[0, 1, 0, 1]	[2, 2, 0, 1]	[1, 1, 2, 3]	[0, 4, 2, 2]	[1, 1, 3, 1]	[2, 2, 3, 3]	[0, 1, 0, 2]	[1, 1, 1, 2]	[1, 1, 0, 1]	[3, 2, 0, 2]	[3, 1, 1, 2]	[1, 3, 0, 3]	[2, 2, 0, 2]	[2, 2, 1, 2]	[0, 1, 3, 3]	[1, 2, 2, 5]	[1, 6, 6, 3]	[0, 1, 1, 6]	[4, 4, 6, 6]	[2, 10, 8, 4]	[4, 3, 10, 1]	[0, 3, 2, 2]	[0, 2, 2, 2]	[1, 2, 3, 2]	[1, 2, 1, 2]	[2, 1, 0, 5]	[3, 1, 3, 4]	[2, 0, 3, 3]	[1, 1, 1, 2]	[2, 0, 1, 7]	[2, 1, 2, 2]	[3, 1, 2, 3]	[1, 1, 4, 2]	[2, 0, 4, 4]	[2, 1, 3, 5]	[3, 1, 1, 6]	[2, 0, 2, 5]	[2, 1, 3, 7]	[3, 1, 2, 9]	[2, 2, 7, 5]	[1, 3, 8, 4]	[2, 1, 7, 5]	[2, 1, 7, 7]	[1, 4, 4, 10]	[2, 4, 7, 3]	[3, 6, 5, 6]	[2, 4, 6, 1]	[2, 1, 8, 5]	[2, 3, 7, 6]	[2, 4, 7, 6]	[2, 5, 3, 7]	[2, 3, 7, 6]	[4, 2, 6, 9]	[3, 5, 4, 8]	[4, 4, 5, 8]	[3, 3, 6, 6]	[1, 4, 7, 7]
