hour	Columbus & Randolph	Randolph & Stetson	Wacker (Upper) & Stetson	Wacker (Upper) & Michigan	Wacker (Upper) & Wabash	State & Lake	State & Washington	State & Monroe	State & Jackson	State & Van Buren	State & Harrison/Congress	Balbo & State	Balbo & Michigan	Balbo & Columbus	1100 S Columbus (Pedestrian Underpass)	Lake Park & 47th Street 	Lake Park & 48th Street	Lake Park & 49th Street	5000 S Lake Park	Lake Park & E. Hyde Park Blvd	E Hyde Park & Cornell	S Hyde Park & E. Hyde Park Blvd.	5200 S S Hyde Park	S Hyde Park & 53rd Street	S Hyde Park & 54th Street	5440 S S Hyde Park	S Hyde Park & 55th Street	S Hyde Park & 56th Street	Stony Island & 57th Street	Stony Island & 59th Street	Stony Island & 60th Street	Stony Island & 61st Street	Stony Island & 62nd Street	Stony Island & 63rd Street	Stony Island & 64th Street	Stony Island & 65th Street	67th Street & Cornell	67th Street & East End	67th Street & Cregier	67th Street & Bennett	67th Street & Jeffery	67th Street & Chappel	67th Street & Clyde	67th Street & Paxton	67th Street & Crandon	67th Street & Oglesby	67th Street & South Shore	S. Shore Drive & 68th Street	S. Shore Drive & 69th Street	S. Shore Drive & 70th Street	S. Shore Drive & 71st Street	S. Shore Drive & Coles	S. Shore Drive & 72nd Street	S. Shore Drive & 73rd Street	S. Shore Drive & 74th Street	S. Shore Drive & 75th Street	S. Shore Drive & 76th Street	S. Shore Drive & 77th Street	S. Shore Drive & 78th Street	S. Shore Drive & Cheltenham	S. Shore Drive & 79th Street	79th Street & Lake Shore Drive
0	[1, 0, 0, 0]	[0, 1, 0, 0]	[0, 0, 1, 0]	[1, 0, 0, 0]	[0, 1, 1, 0]	[1, 2, 0, 0]	[0, 0, 2, 0]	[1, 1, 0, 1]	[0, 1, 1, 0]	[1, 0, 0, 0]	[2, 1, 2, 0]	[1, 2, 1, 0]	[0, 5, 3, 2]	[2, 1, 1, 2]	[2, 2, 3, 3]	[1, 5, 2, 0]	[2, 2, 3, 0]	[5, 5, 4, 1]	[5, 3, 3, 3]	[4, 1, 1, 3]	[3, 5, 2, 1]	[3, 2, 0, 0]	[5, 5, 1, 1]	[3, 1, 3, 0]	[5, 0, 1, 1]	[4, 4, 1, 4]	[2, 2, 1, 0]	[1, 4, 1, 1]	[2, 2, 1, 1]	[5, 1, 3, 2]	[4, 2, 3, 3]	[5, 4, 2, 1]	[5, 1, 5, 3]	[7, 3, 1, 3]	[3, 5, 1, 2]	[4, 2, 0, 3]	[1, 4, 1, 6]	[0, 2, 2, 5]	[1, 3, 4, 5]	[1, 3, 2, 3]	[1, 2, 5, 0]	[1, 4, 2, 1]	[5, 6, 3, 2]	[4, 8, 1, 2]	[4, 2, 1, 0]	[6, 3, 3, 1]	[3, 2, 1, 2]	[1, 2, 3, 2]	[6, 0, 3, 3]	[3, 4, 2, 0]	[3, 2, 2, 3]	[2, 3, 0, 1]	[6, 3, 4, 0]	[3, 1, 3, 2]	[3, 1, 3, 3]	[2, 1, 2, 1]	[3, 2, 3, 1]	[4, 3, 2, 0]	[3, 1, 2, 4]	[2, 3, 4, 2]	[1, 2, 4, 1]	[0, 0, 0, 2]
1	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 0]	[1, 0, 2, 0]	[0, 1, 0, 0]	[0, 0, 0, 2]	[1, 1, 0, 0]	[1, 0, 0, 1]	[1, 0, 0, 1]	[0, 1, 0, 0]	[1, 0, 0, 0]	[0, 1, 1, 0]	[1, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 4]	[1, 0, 1, 0]	[0, 0, 0, 0]	[1, 1, 0, 1]	[0, 0, 0, 1]	[0, 0, 1, 0]	[1, 0, 0, 0]	[1, 1, 1, 4]	[1, 0, 1, 0]	[0, 0, 0, 1]	[2, 1, 2, 0]	[1, 1, 3, 2]	[0, 2, 1, 2]	[1, 0, 2, 2]	[0, 1, 0, 3]	[2, 1, 2, 0]	[1, 0, 2, 2]	[1, 3, 3, 0]	[0, 3, 0, 1]	[0, 3, 1, 1]	[1, 3, 1, 1]	[0, 4, 3, 4]	[2, 2, 1, 2]	[1, 2, 1, 3]	[3, 2, 0, 1]	[2, 2, 1, 2]	[2, 0, 2, 0]	[5, 2, 2, 2]	[3, 3, 0, 1]	[0, 1, 0, 0]
2	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]
3	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]
5	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 0]	[1, 1, 0, 0]	[1, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 0]	[0, 0, 0, 1]	[0, 0, 0, 1]	[1, 0, 0, 0]	[1, 0, 0, 1]	[0, 0, 0, 0]	[0, 1, 0, 0]	[0, 0, 0, 0]	[2, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 1, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 1, 0]	[1, 0, 0, 0]	[0, 0, 1, 0]	[0, 1, 1, 0]	[0, 0, 1, 0]	[0, 1, 0, 1]	[0, 1, 0, 4]	[1, 0, 0, 1]	[1, 0, 1, 0]	[1, 0, 0, 0]	[1, 1, 0, 0]	[1, 2, 0, 1]	[0, 0, 1, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 1, 1, 0]	[0, 0, 0, 0]	[0, 0, 0, 2]	[0, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]
6	[0, 0, 0, 0]	[0, 1, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 0]	[0, 0, 0, 2]	[1, 0, 0, 0]	[0, 2, 1, 0]	[0, 1, 0, 1]	[1, 0, 0, 0]	[1, 1, 1, 0]	[0, 1, 0, 0]	[1, 0, 0, 0]	[0, 0, 1, 0]	[0, 0, 1, 0]	[0, 0, 1, 0]	[0, 0, 0, 3]	[0, 0, 2, 3]	[0, 0, 0, 4]	[0, 1, 0, 1]	[0, 1, 0, 1]	[0, 1, 1, 0]	[1, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 1, 1]	[1, 3, 2, 0]	[1, 2, 0, 0]	[2, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 1]	[0, 0, 0, 1]	[0, 0, 0, 2]	[0, 0, 1, 1]	[0, 0, 2, 1]	[0, 1, 0, 1]	[1, 2, 0, 0]	[1, 0, 1, 1]	[2, 1, 0, 1]	[2, 0, 0, 1]	[1, 1, 1, 0]	[0, 1, 0, 0]	[0, 1, 2, 2]	[0, 1, 0, 1]	[1, 2, 1, 0]	[1, 1, 0, 3]	[2, 0, 1, 1]	[0, 3, 1, 3]	[0, 1, 0, 1]	[2, 1, 0, 0]	[0, 1, 1, 0]	[0, 0, 2, 0]	[0, 1, 1, 1]	[0, 1, 1, 2]	[0, 1, 1, 2]	[0, 3, 0, 0]	[1, 0, 0, 2]	[0, 0, 0, 1]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 0]
7	[3, 0, 4, 2]	[3, 3, 2, 2]	[1, 0, 1, 7]	[1, 1, 0, 3]	[2, 0, 2, 0]	[1, 1, 1, 2]	[1, 0, 0, 1]	[1, 2, 2, 1]	[2, 0, 0, 3]	[1, 1, 0, 1]	[2, 0, 4, 2]	[3, 0, 3, 5]	[4, 0, 3, 3]	[5, 1, 3, 4]	[6, 2, 5, 4]	[0, 3, 0, 1]	[0, 2, 0, 1]	[3, 1, 0, 0]	[1, 0, 3, 0]	[2, 3, 2, 0]	[3, 0, 2, 1]	[0, 2, 0, 1]	[1, 1, 0, 1]	[1, 1, 0, 0]	[0, 1, 0, 0]	[0, 1, 0, 1]	[0, 0, 0, 2]	[1, 0, 0, 0]	[0, 0, 0, 1]	[1, 1, 1, 0]	[1, 1, 0, 0]	[0, 1, 1, 0]	[3, 0, 0, 1]	[1, 0, 2, 1]	[0, 0, 0, 0]	[1, 0, 1, 1]	[0, 0, 0, 1]	[1, 3, 0, 0]	[0, 0, 0, 0]	[2, 1, 0, 1]	[1, 1, 0, 1]	[1, 0, 0, 1]	[0, 1, 0, 1]	[2, 1, 3, 1]	[0, 1, 1, 0]	[1, 0, 1, 1]	[0, 0, 1, 0]	[1, 3, 0, 0]	[1, 0, 1, 0]	[1, 3, 0, 0]	[0, 1, 1, 0]	[1, 1, 1, 1]	[0, 0, 3, 1]	[2, 3, 1, 1]	[1, 0, 0, 0]	[0, 0, 0, 0]	[1, 0, 0, 1]	[1, 0, 0, 0]	[0, 0, 0, 0]	[0, 0, 0, 1]	[0, 0, 0, 1]	[0, 4, 1, 2]
8	[1, 3, 1, 1]	[1, 1, 2, 1]	[1, 1, 4, 5]	[3, 3, 4, 4]	[4, 2, 3, 2]	[1, 3, 7, 4]	[2, 2, 6, 9]	[3, 6, 3, 5]	[3, 4, 4, 5]	[2, 4, 2, 6]	[3, 3, 1, 8]	[4, 5, 6, 1]	[2, 5, 8, 3]	[3, 3, 4, 4]	[3, 2, 5, 5]	[0, 6, 6, 4]	[2, 6, 2, 5]	[6, 10, 5, 9]	[5, 8, 7, 14]	[1, 4, 5, 7]	[5, 5, 5, 3]	[4, 6, 7, 4]	[4, 5, 9, 4]	[2, 4, 7, 8]	[2, 4, 11, 7]	[3, 8, 7, 4]	[4, 7, 6, 6]	[3, 3, 8, 5]	[1, 8, 2, 5]	[5, 10, 3, 5]	[4, 6, 5, 7]	[3, 10, 4, 5]	[4, 12, 4, 9]	[4, 9, 4, 5]	[3, 4, 3, 5]	[7, 7, 3, 2]	[3, 6, 7, 5]	[2, 3, 0, 2]	[5, 2, 5, 4]	[3, 8, 4, 4]	[5, 4, 5, 5]	[2, 6, 4, 1]	[3, 5, 3, 2]	[4, 1, 6, 2]	[3, 4, 3, 3]	[2, 5, 3, 5]	[3, 5, 2, 4]	[1, 2, 8, 4]	[5, 4, 11, 4]	[4, 6, 4, 3]	[6, 5, 1, 0]	[2, 7, 2, 3]	[4, 5, 3, 2]	[5, 2, 5, 2]	[4, 5, 3, 5]	[5, 5, 5, 2]	[0, 3, 5, 3]	[3, 6, 2, 3]	[2, 1, 3, 7]	[1, 4, 3, 4]	[3, 1, 4, 3]	[6, 4, 4, 3]
9	[2, 0, 2, 3]	[2, 1, 1, 4]	[1, 1, 5, 4]	[2, 3, 2, 8]	[1, 1, 5, 3]	[1, 4, 4, 6]	[2, 5, 1, 9]	[2, 3, 5, 6]	[3, 6, 5, 12]	[1, 6, 7, 15]	[1, 9, 7, 16]	[9, 5, 9, 10]	[11, 13, 8, 15]	[14, 9, 7, 19]	[10, 8, 10, 19]	[9, 17, 13, 14]	[10, 15, 14, 14]	[9, 14, 15, 13]	[14, 14, 11, 17]	[11, 15, 10, 19]	[12, 16, 13, 19]	[13, 16, 10, 13]	[11, 16, 8, 17]	[7, 17, 11, 21]	[8, 17, 15, 16]	[9, 15, 10, 16]	[10, 14, 12, 18]	[13, 11, 13, 15]	[13, 17, 11, 22]	[11, 14, 17, 15]	[9, 18, 13, 20]	[14, 17, 14, 19]	[11, 17, 15, 16]	[14, 13, 18, 11]	[19, 14, 14, 17]	[16, 16, 11, 15]	[10, 25, 9, 16]	[9, 11, 8, 22]	[7, 18, 9, 13]	[12, 14, 12, 13]	[14, 5, 15, 14]	[10, 15, 8, 16]	[9, 17, 10, 16]	[14, 15, 7, 12]	[11, 11, 12, 17]	[17, 7, 9, 18]	[17, 8, 8, 13]	[13, 5, 14, 4]	[18, 8, 9, 7]	[13, 10, 10, 6]	[13, 7, 7, 12]	[11, 13, 9, 10]	[11, 17, 7, 16]	[11, 12, 6, 12]	[11, 11, 11, 8]	[11, 12, 9, 6]	[12, 14, 10, 6]	[11, 15, 7, 12]	[14, 11, 10, 8]	[13, 15, 7, 11]	[13, 7, 11, 7]	[7, 10, 6, 3]
10	[0, 1, 3, 0]	[0, 1, 3, 1]	[1, 0, 3, 3]	[0, 5, 1, 0]	[0, 3, 1, 6]	[3, 2, 2, 7]	[3, 3, 4, 3]	[6, 2, 2, 2]	[3, 2, 2, 10]	[3, 2, 5, 8]	[4, 4, 2, 9]	[5, 3, 2, 11]	[4, 7, 6, 10]	[6, 9, 10, 14]	[4, 14, 8, 10]	[15, 13, 13, 13]	[16, 8, 14, 13]	[16, 11, 13, 16]	[16, 14, 9, 20]	[15, 14, 13, 15]	[16, 10, 19, 17]	[14, 12, 20, 9]	[13, 15, 18, 11]	[13, 13, 21, 13]	[11, 14, 18, 18]	[12, 15, 22, 14]	[9, 16, 24, 14]	[11, 13, 21, 13]	[14, 12, 15, 24]	[12, 13, 13, 23]	[14, 14, 13, 29]	[16, 13, 12, 29]	[15, 14, 17, 24]	[11, 17, 19, 24]	[16, 19, 12, 27]	[15, 17, 14, 27]	[9, 13, 20, 24]	[10, 15, 13, 26]	[10, 13, 19, 22]	[13, 13, 15, 25]	[13, 9, 15, 21]	[12, 12, 18, 21]	[11, 16, 17, 24]	[13, 19, 11, 22]	[17, 15, 10, 24]	[16, 15, 17, 17]	[21, 13, 16, 16]	[19, 10, 24, 10]	[19, 12, 24, 8]	[23, 15, 19, 11]	[18, 23, 15, 19]	[24, 20, 13, 18]	[21, 21, 20, 17]	[24, 23, 12, 22]	[25, 19, 17, 16]	[28, 21, 18, 14]	[31, 15, 21, 18]	[28, 19, 21, 15]	[26, 20, 19, 17]	[28, 22, 17, 20]	[30, 16, 21, 25]	[18, 13, 14, 15]
11	[3, 2, 1, 4]	[2, 2, 2, 3]	[2, 2, 1, 3]	[2, 6, 1, 3]	[2, 6, 4, 0]	[3, 2, 4, 7]	[6, 0, 5, 2]	[5, 4, 4, 2]	[4, 4, 8, 6]	[4, 6, 7, 2]	[4, 7, 8, 8]	[8, 7, 3, 4]	[5, 5, 5, 10]	[7, 6, 4, 8]	[7, 4, 4, 11]	[4, 7, 5, 6]	[5, 5, 5, 7]	[8, 10, 2, 5]	[8, 7, 3, 6]	[6, 7, 4, 3]	[5, 6, 4, 5]	[6, 10, 7, 2]	[6, 11, 3, 6]	[6, 8, 6, 6]	[9, 6, 6, 8]	[8, 4, 4, 12]	[4, 6, 10, 9]	[7, 13, 5, 6]	[10, 10, 8, 11]	[6, 11, 6, 9]	[6, 11, 11, 8]	[5, 13, 8, 7]	[5, 11, 7, 10]	[6, 9, 6, 11]	[7, 8, 7, 10]	[5, 10, 10, 11]	[6, 17, 4, 12]	[8, 11, 11, 7]	[8, 14, 10, 7]	[9, 8, 13, 9]	[12, 9, 8, 14]	[10, 12, 8, 10]	[10, 12, 5, 15]	[14, 7, 12, 9]	[11, 9, 12, 12]	[10, 12, 6, 15]	[11, 8, 13, 10]	[13, 9, 12, 5]	[14, 13, 9, 6]	[19, 13, 6, 7]	[15, 15, 5, 9]	[19, 13, 8, 7]	[15, 15, 6, 10]	[14, 15, 8, 5]	[16, 14, 3, 10]	[18, 11, 7, 8]	[18, 14, 6, 10]	[18, 15, 5, 13]	[19, 13, 8, 10]	[16, 13, 12, 11]	[15, 10, 10, 12]	[10, 5, 2, 10]
